tract_index,dist_to_nearest_h2s_km,dist_to_top_closure_beach_km,h2s_proximity_category
47,16.4059772142382,12.742796469086226,10+ km
48,19.956069031550665,17.97888414076172,10+ km
49,18.171327315025128,16.27736809979559,10+ km
50,17.78706774466076,12.993001070488983,10+ km
51,18.6628524514547,13.6535371820451,10+ km
52,17.992344003531574,12.59900861363991,10+ km
53,17.97816568672496,12.799991383690092,10+ km
54,17.21521876762077,11.964860286269126,10+ km
55,16.75994784891124,12.217330626712224,10+ km
56,18.77716145208565,13.920878984433694,10+ km
57,18.87870558322476,14.170505349453066,10+ km
58,14.057117490289329,11.630577916922833,10+ km
59,13.837305230525873,11.894953208186607,10+ km
60,1.744623840616166,6.773115157406463,1-3 km
61,11.87068472574666,8.21780766555288,10+ km
62,7.8204858037770855,5.395109190446272,5-10 km
63,16.28987427265589,15.661275961468963,10+ km
64,18.983680828420805,15.718973341120734,10+ km
65,19.288732268238032,18.30739560868757,10+ km
66,20.30253160342756,13.97712756587716,10+ km
67,14.91776406515807,9.073652552564923,10+ km
68,9.13190052386096,8.341519352333126,5-10 km
69,24.02665997383201,22.836068588085922,10+ km
70,15.64170069865594,10.86531473491387,10+ km
71,17.81907360016111,12.849097110798924,10+ km
72,16.8040535813017,11.878783694020536,10+ km
73,19.159164471910696,14.683480641696407,10+ km
74,17.84856031152969,13.183158622212934,10+ km
75,11.924741855984562,9.370015433034721,10+ km
76,10.603790038943863,8.421808907449801,10+ km
77,1.4823275311358952,7.689127429604772,1-3 km
78,20.261107484057277,17.72884245347846,10+ km
79,18.590028242117874,13.238114141635599,10+ km
80,18.595890914396154,13.397453049671322,10+ km
81,19.859778829454616,13.582482618561226,10+ km
82,15.472944067589973,13.72262649143852,10+ km
83,15.890226531461922,14.373184236702695,10+ km
84,20.28247415496926,17.11776566852679,10+ km
85,15.43878314862667,9.212728567454771,10+ km
86,22.174901093512457,20.438776585040927,10+ km
87,16.47021424256931,10.196643498582656,10+ km
88,1.4118615806206998,3.4048301727951373,1-3 km
89,11.785562890992455,6.604209225105092,10+ km
90,11.602666213430044,12.525653922459968,10+ km
91,18.324276743233682,14.119699865708332,10+ km
92,12.930059090728408,10.303834343904386,10+ km
93,13.434006221437835,9.643853843650724,10+ km
94,14.236049399014012,10.823296189583257,10+ km
95,13.173673438389878,9.968172222384258,10+ km
96,9.560405077861214,3.3095475138326726,5-10 km
97,13.165467594041456,6.862884979684568,10+ km
98,10.79728781164767,7.16867785391796,10+ km
99,5.723212102874787,4.655850989331006,5-10 km
100,6.234582879204504,3.2205459586037923,5-10 km
101,9.414960076706468,11.468905870307125,5-10 km
102,17.583999286007636,13.368597039684092,10+ km
103,19.594523378346775,13.393331027401086,10+ km
104,13.692363198236903,9.29289862666884,10+ km
105,9.184888609526322,5.544418374976477,5-10 km
