datetime_local,date,year,month,hour,station_name_clean,location_clean,h2s_ppb,h2s_level_clean,elevated_h2s_event,orange_h2s_event,valid_h2s_record,h2s_ppb_original,h2s_ppb_clean,h2s_level,exceedance_30ppb,exceedance_200ppb,nighttime_flag,analysis_period,review_status,negative_value_flag,missing_h2s_flag,source,source_note,notes
2024-10-30 07:00:00,2024-10-30,2024,2024-10,7,San Ysidro - Fire Station #29,SAN YSIDRO,3.5,Green (0-4.9 ppB),False,False,True,3.5,3.5,Green (0-4.9 ppB),0,0,1,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 08:00:00,2024-10-30,2024,2024-10,8,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-3.3,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 08:00:00,2024-10-30,2024,2024-10,8,San Ysidro - Fire Station #29,SAN YSIDRO,3.2,Green (0-4.9 ppB),False,False,True,3.2,3.2,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 09:00:00,2024-10-30,2024,2024-10,9,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-1.0,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 09:00:00,2024-10-30,2024,2024-10,9,San Ysidro - Fire Station #29,SAN YSIDRO,,Missing/Not visible,False,False,False,-0.1,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 10:00:00,2024-10-30,2024,2024-10,10,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.9,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 10:00:00,2024-10-30,2024,2024-10,10,San Ysidro - Fire Station #29,SAN YSIDRO,,Missing/Not visible,False,False,False,-0.4,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 11:00:00,2024-10-30,2024,2024-10,11,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.6,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 11:00:00,2024-10-30,2024,2024-10,11,San Ysidro - Fire Station #29,SAN YSIDRO,,Missing/Not visible,False,False,False,-0.2,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 12:00:00,2024-10-30,2024,2024-10,12,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.5,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-30 12:00:00,2024-10-30,2024,2024-10,12,San Ysidro - Fire Station #29,SAN YSIDRO,,Missing/Not visible,False,False,False,-0.3,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
