station_id,station_agency_id,beach_name_id,station_name,station_description,agency_station_identifier,beach_name,beach_type,nearest_city,water_body_name,water_body_class,water_body_type,watershed_name,ab411_beach,usepa_id,beach_access,county,county_name,station_status,beach_status,agency_name,agency_jurisdiction,regional_board,regional_board_name,station_lat,station_lon,coordinate_source,beach_upper_lat,beach_upper_lon,beach_lower_lat,beach_lower_lon,beach_mid_lat,beach_mid_lon,valid_station_point
322,23,367,EH-030,Imperial Beach Pier,EH-030,Imperial Beach pier area,UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA432983,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.57875,-117.133186,station_upper,32.5804,-117.5866,32.1327,-117.1332,32.35655,-117.35990000000001,True
323,23,367,EH-033,Date Ave,EH-033,Imperial Beach pier area,UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA432983,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.581041,-117.133452,station_upper,32.5804,-117.5866,32.1327,-117.1332,32.35655,-117.35990000000001,True
916,34,422,EH-351,Scripps Pier N,,La Jolla Community Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA211756,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.866321,-117.254859,station_upper,32.854717,-117.259183,32.809867,-117.269317,32.832291999999995,-117.26425,True
415,23,73,FM-070,La Jolla Cove,FM-070,La Jolla Cove,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA997086,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.85045,-117.2727,station_upper,32.850235,-117.272347,32.850825,-117.273034,32.85053,-117.2726905,True
918,34,74,EH-257,Hannimans / Calumet Park,,La Jolla Shores Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA876094,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.812055,-117.271647,station_upper,32.883647,-117.252681,32.854717,-117.259183,32.869182,-117.255932,True
917,34,74,EH-258,Cortez Plaza,,La Jolla Shores Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA876094,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.82011,-117.280195,station_upper,32.883647,-117.252681,32.854717,-117.259183,32.869182,-117.255932,True
365,23,74,EH-320,Vallecitos,EH-320,La Jolla Shores Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA876094,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.8556,-117.2581,station_upper,32.883647,-117.252681,32.854717,-117.259183,32.869182,-117.255932,True
366,23,74,EH-330,Del Oro,EH-330,La Jolla Shores Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA876094,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.859,-117.256,station_upper,32.883647,-117.252681,32.854717,-117.259183,32.869182,-117.255932,True
367,23,74,EH-340,El Paseo Grande,EH-340,La Jolla Shores Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA876094,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.863,-117.2547,station_upper,32.883647,-117.252681,32.854717,-117.259183,32.869182,-117.255932,True
368,23,74,EH-350,Scripps Pier S,EH-350,La Jolla Shores Beach,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA876094,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.86585,-117.25526,station_upper,32.883647,-117.252681,32.854717,-117.259183,32.869182,-117.255932,True
